Date,Open,High,Low,Close,Adj Close,Volume
1999-06-22,118.427345,122.131927,117.590820,117.949333,71.343826,7103700
1999-06-23,116.873802,118.726097,116.395790,117.531075,71.090828,4622065
1999-06-24,117.710327,118.965103,116.216537,117.172562,70.873993,5471835
1999-06-25,117.889580,120.219887,117.710327,117.710327,71.199272,4773526
1999-06-28,118.546844,119.204109,116.814056,117.172562,70.873993,6520032
1999-06-29,117.590820,119.801628,117.351814,119.144356,72.066666,5464095
1999-06-30,119.323616,126.195030,118.905357,123.565964,74.741135,8637136
1999-07-01,124.282982,125.537766,122.370934,125.239006,75.753098,6183534
1999-07-02,125.119499,126.434036,123.804970,126.434036,76.475952,3706606
1999-07-06,126.673042,127.987572,125.059753,125.239006,75.753098,5971928
1999-07-07,125.239006,127.629066,124.880501,126.971794,76.801216,6954749
1999-07-08,126.673042,129.541107,126.314529,128.107071,77.487930,6373173
1999-07-09,128.107071,131.393402,127.987572,131.333649,79.439621,5016511
1999-07-12,131.393402,132.588425,129.421600,131.751907,79.692535,5279057
1999-07-13,129.780121,133.066437,129.780121,131.811661,79.728729,5905402
1999-07-14,132.229919,132.409180,130.198380,131.214142,79.367287,4941304
1999-07-15,131.931168,132.050674,128.585083,130.317871,78.825188,5840446
1999-07-16,130.377625,131.453156,129.421600,130.258133,78.789024,5358763
1999-07-19,130.497131,132.767685,127.808319,128.704590,77.849342,7977319
1999-07-20,126.195030,126.314529,120.518639,122.609940,74.162926,14965540
1999-07-21,121.892921,124.043976,121.295410,123.326958,74.596573,9196746
1999-07-22,122.012428,122.848946,118.068832,118.427345,71.632942,9277079
1999-07-23,118.546844,119.921127,117.232315,119.323616,72.175125,7284553
1999-07-26,118.188339,119.622368,117.351814,117.590820,71.126976,5773815
1999-07-27,119.502869,120.936905,118.128586,120.697899,73.006355,6813121
1999-07-28,120.817398,123.028206,120.279640,122.729446,74.235168,5530830
1999-07-29,120.697899,121.056404,119.144356,119.861374,72.500366,5970045
1999-07-30,120.399139,121.116158,118.905357,120.160133,72.681068,4523845
1999-08-02,118.546844,120.458893,116.455544,116.873802,70.693283,4775095
1999-08-03,117.351814,117.710327,112.989960,114.125237,69.030769,7171271
1999-08-04,114.722755,116.515297,112.870461,113.288719,68.524757,6019521
1999-08-05,114.722755,118.546844,112.392448,117.770073,71.235420,7703267
1999-08-06,116.634796,121.414917,115.678780,118.068832,71.485748,6425160
1999-08-09,118.188339,118.965103,115.798279,116.814056,70.726067,4234313
1999-08-10,116.156792,117.112808,113.706978,114.065491,69.061882,6115125
1999-08-11,114.842255,118.307838,114.543503,117.889580,71.377220,5797978
1999-08-12,118.307838,118.367592,115.678780,115.798279,70.110992,5259079
1999-08-13,117.351814,119.024857,116.634796,117.949333,71.413383,4602818
1999-08-16,119.502869,122.251434,119.024857,121.773422,73.728737,5113894
1999-08-17,122.848946,122.908699,120.996651,122.848946,74.379921,5372674
1999-08-18,122.729446,123.924477,118.068832,118.427345,71.702820,6910922
1999-08-19,118.427345,119.383362,115.917786,117.531075,71.160164,7932132
1999-08-20,118.905357,118.905357,115.738525,116.395790,70.472832,6236252
1999-08-23,117.351814,119.383362,116.933556,118.965103,72.028397,6321501
1999-08-24,117.949333,118.188339,115.678780,116.634796,70.617508,8830437
1999-08-25,116.634796,118.606598,115.559273,116.993309,70.834587,6760298
1999-08-26,117.232315,120.339386,116.694550,117.531075,71.160164,6532584
1999-08-27,119.502869,119.682121,117.351814,118.546844,71.775139,4554912
1999-08-30,118.785851,120.100380,117.292068,117.770073,71.304848,4992558
1999-08-31,118.905357,120.458893,117.471321,119.084610,72.100777,6500262
1999-09-01,120.100380,122.848946,119.980881,121.653923,73.656364,6552562
1999-09-02,120.936905,121.175911,118.785851,120.339386,72.860466,5839923
1999-09-03,122.729446,124.043976,122.370934,123.192520,74.587906,5525913
1999-09-07,123.207458,126.852295,122.729446,126.195030,76.405815,7900333
1999-09-08,125.717018,128.047318,124.940247,125.000000,75.682289,7537581
1999-09-09,126.673042,130.497131,125.836517,128.824097,77.997627,8810563
1999-09-10,131.453156,131.632416,128.465576,129.063095,78.142326,5323408
1999-09-13,128.704590,129.600861,126.195030,126.553535,76.622879,4646646
1999-09-14,126.195030,127.688812,126.135277,127.449806,77.165527,4801872
1999-09-15,128.107071,129.063095,126.135277,126.135277,76.369629,5915548
1999-09-16,126.195030,126.553535,123.864723,124.282982,75.248161,6372860
1999-09-17,125.597511,125.657265,118.307838,119.861374,72.571030,15541259
1999-09-20,120.936905,125.119499,120.458893,124.402489,75.320511,7889978
1999-09-21,123.087952,123.924477,120.697899,121.534416,73.584030,7304846
1999-09-22,121.594170,121.653923,118.905357,119.682121,72.462517,8464127
1999-09-23,121.892921,122.191681,116.097038,116.634796,70.617508,7939140
1999-09-24,115.200768,119.502869,115.141014,119.502869,72.353996,7793537
1999-09-27,121.056404,121.235657,116.037285,117.590820,71.196320,7400555
1999-09-28,117.590820,119.263863,116.336044,118.068832,71.485748,7430156
1999-09-29,116.694550,117.411568,114.722755,114.782501,69.496010,9179278
1999-09-30,115.678780,116.873802,114.364243,115.678780,70.038704,6948055
1999-10-01,115.678780,115.738525,110.420647,112.571701,68.157494,11044609
1999-10-04,112.810707,114.722755,111.615677,114.603249,69.387482,7365932
1999-10-05,116.634796,117.829826,113.826485,116.634796,70.617508,6731742
1999-10-06,116.873802,117.351814,113.826485,113.945984,68.989510,8425425
1999-10-07,113.886230,113.945984,110.002388,111.257172,67.361572,14895040
1999-10-08,109.942642,110.002388,106.178299,108.508606,65.697426,18689823
1999-10-11,108.508606,111.555923,108.150093,109.225624,66.131577,8187147
1999-10-12,108.986618,109.823135,105.162521,105.162521,63.671520,8655545
1999-10-13,105.939293,105.999046,100.382408,100.442162,60.813534,15705690
1999-10-14,101.816444,102.533463,100.083649,102.294456,61.935036,14830711
1999-10-15,101.756691,104.086998,99.306885,103.130974,62.441494,14561052
1999-10-18,103.250481,104.206497,100.083649,102.294456,61.935036,10123502
1999-10-19,102.294456,103.728493,100.800667,102.413956,62.007359,9607196
1999-10-20,103.847992,108.090347,102.294456,102.294456,61.935036,11900028
1999-10-21,88.910133,88.910133,85.086044,86.998085,52.673702,72639156
1999-10-22,89.627151,90.463669,88.432121,89.806404,54.374008,27895460
1999-10-25,90.105164,90.941681,88.073616,89.746651,54.337845,14398608
1999-10-26,90.702675,91.778206,90.463669,91.300194,55.278439,11890300
1999-10-27,91.300194,91.359940,88.730881,88.910133,53.831360,10325484
1999-10-28,90.344170,91.120934,90.105164,90.762428,54.952866,9881248
1999-10-29,92.734222,94.646271,92.017204,93.929253,56.870232,11588111
1999-11-01,94.168259,94.467018,92.136711,92.495216,56.001984,9991183
1999-11-02,92.495216,92.554970,89.567398,90.642921,54.880486,11616248
1999-11-03,91.658699,91.718452,89.388145,90.224663,54.627289,10846079
1999-11-04,90.284416,90.284416,86.042068,87.535851,52.999290,17465690
1999-11-05,88.671127,88.850380,86.221321,86.281075,52.239578,14369530
1999-11-08,86.520073,89.806404,86.520073,89.806404,54.446392,8914326
1999-11-09,90.881927,91.300194,88.073616,89.507645,54.265327,9990555
1999-11-10,90.463669,92.793976,89.985657,92.734222,56.221485,9079594
1999-11-11,93.212234,93.212234,90.702675,90.822182,55.062267,7476285
1999-11-12,91.778206,92.017204,88.910133,91.658699,55.569408,10113146
1999-11-15,91.778206,92.136711,89.746651,89.925911,54.518887,6547332
1999-11-16,90.463669,90.822182,88.910133,90.463669,54.844910,8930120
1999-11-17,90.702675,90.702675,88.551628,89.627151,54.337753,8739435
1999-11-18,89.866158,93.929253,89.447899,93.690247,56.801041,19581643
1999-11-19,94.646271,100.501915,94.048759,99.366638,60.242462,20583606
1999-11-22,100.860420,103.668739,99.844643,103.130974,62.524647,14310954
1999-11-23,104.027245,105.043022,101.338432,101.398186,61.474125,11155799
1999-11-24,100.382408,100.382408,97.335083,99.904396,60.568481,10157078
1999-11-26,101.278679,101.338432,99.545891,100.382408,60.858269,3251386
1999-11-29,100.322655,100.322655,98.828873,99.605644,60.387341,5938874
1999-11-30,99.127632,99.904396,97.633842,98.530113,59.735298,6023600
1999-12-01,98.052101,99.844643,97.753349,98.873688,59.943600,5581874
1999-12-02,98.888626,101.637192,98.828873,100.636353,61.012249,6502877
1999-12-03,104.983269,107.911087,103.190727,106.955070,64.843086,15355594
1999-12-06,108.030594,111.376671,107.552582,110.898659,67.233910,10385002
1999-12-07,111.854683,113.945984,110.360901,111.496178,67.596153,11847101
1999-12-08,111.137665,115.678780,110.420647,113.079590,68.556114,8514231
1999-12-09,115.200768,116.754303,107.313576,108.389099,65.712448,17408578
